activity,availability,type,participants,price,accessibility,duration,kidFriendly,link,key
Draw and color a Mandala,0.1,relaxation,1,0.05,Few to no challenges,minutes,True,https://www.redcross.org/give-blood,4614092
Memorize a favorite quote or poem,0.8,education,1,0,Few to no challenges,minutes,True,https://www.redcross.org/give-blood,9008639
Study a foreign language,0.1,education,1,0,Few to no challenges,weeks,True,https://www.redcross.org/give-blood,9765530
Fix something that's broken in your house,0.3,diy,1,0.1,Minor challenges,minutes,True,https://www.redcross.org/give-blood,6925988
Learn a new programming language,0.25,education,1,0.1,Few to no challenges,hours,True,https://www.redcross.org/give-blood,5881028
